episode,reward,episode_length
0,23.0,23
1,16.0,16
2,16.0,16
3,36.0,36
4,10.0,10
5,19.0,19
6,51.0,51
7,36.0,36
8,9.0,9
9,42.0,42
10,15.0,15
11,15.0,15
12,41.0,41
13,19.0,19
14,12.0,12
15,14.0,14
16,24.0,24
17,13.0,13
18,10.0,10
19,17.0,17
20,13.0,13
21,31.0,31
22,15.0,15
23,15.0,15
24,25.0,25
25,22.0,22
26,34.0,34
27,19.0,19
28,13.0,13
29,14.0,14
30,15.0,15
31,32.0,32
32,18.0,18
33,23.0,23
34,19.0,19
35,14.0,14
36,12.0,12
37,30.0,30
38,14.0,14
39,12.0,12
40,54.0,54
41,14.0,14
42,28.0,28
43,13.0,13
44,22.0,22
45,21.0,21
46,21.0,21
47,20.0,20
48,32.0,32
49,18.0,18
50,12.0,12
51,26.0,26
52,31.0,31
53,10.0,10
54,24.0,24
55,15.0,15
56,55.0,55
57,18.0,18
58,14.0,14
59,23.0,23
60,24.0,24
61,11.0,11
62,13.0,13
63,14.0,14
64,11.0,11
65,14.0,14
66,20.0,20
67,24.0,24
68,15.0,15
69,14.0,14
70,40.0,40
71,14.0,14
72,11.0,11
73,23.0,23
74,15.0,15
75,27.0,27
76,24.0,24
77,33.0,33
78,27.0,27
79,16.0,16
80,39.0,39
81,35.0,35
82,30.0,30
83,27.0,27
84,35.0,35
85,12.0,12
86,38.0,38
87,31.0,31
88,22.0,22
89,26.0,26
90,27.0,27
91,16.0,16
92,35.0,35
93,19.0,19
94,12.0,12
95,13.0,13
96,21.0,21
97,12.0,12
98,14.0,14
99,15.0,15
100,8.0,8
101,9.0,9
102,9.0,9
103,10.0,10
104,9.0,9
105,9.0,9
106,10.0,10
107,10.0,10
108,10.0,10
109,10.0,10
110,10.0,10
111,8.0,8
112,9.0,9
113,10.0,10
114,10.0,10
115,10.0,10
116,11.0,11
117,9.0,9
118,9.0,9
119,10.0,10
120,10.0,10
121,10.0,10
122,10.0,10
123,9.0,9
124,10.0,10
125,10.0,10
126,9.0,9
127,10.0,10
128,10.0,10
129,10.0,10
130,10.0,10
131,9.0,9
132,9.0,9
133,10.0,10
134,8.0,8
135,10.0,10
136,10.0,10
137,10.0,10
138,10.0,10
139,9.0,9
140,10.0,10
141,9.0,9
142,10.0,10
143,11.0,11
144,10.0,10
145,10.0,10
146,11.0,11
147,8.0,8
148,11.0,11
149,9.0,9
150,10.0,10
151,10.0,10
152,10.0,10
153,11.0,11
154,10.0,10
155,9.0,9
156,9.0,9
157,8.0,8
158,10.0,10
159,12.0,12
160,11.0,11
161,13.0,13
162,10.0,10
163,10.0,10
164,10.0,10
165,14.0,14
166,12.0,12
167,12.0,12
168,14.0,14
169,13.0,13
170,11.0,11
171,11.0,11
172,13.0,13
173,15.0,15
174,11.0,11
175,10.0,10
176,14.0,14
177,13.0,13
178,14.0,14
179,17.0,17
180,13.0,13
181,18.0,18
182,15.0,15
183,13.0,13
184,15.0,15
185,13.0,13
186,14.0,14
187,15.0,15
188,18.0,18
189,13.0,13
190,16.0,16
191,12.0,12
192,15.0,15
193,18.0,18
194,20.0,20
195,22.0,22
196,21.0,21
197,20.0,20
198,18.0,18
199,23.0,23
200,23.0,23
201,20.0,20
202,21.0,21
203,25.0,25
204,28.0,28
205,25.0,25
206,23.0,23
207,38.0,38
208,57.0,57
209,42.0,42
210,66.0,66
211,33.0,33
212,45.0,45
213,33.0,33
214,48.0,48
215,26.0,26
216,25.0,25
217,38.0,38
218,45.0,45
219,35.0,35
220,103.0,103
221,71.0,71
222,90.0,90
223,54.0,54
224,26.0,26
225,41.0,41
226,29.0,29
227,33.0,33
228,27.0,27
229,66.0,66
230,65.0,65
231,81.0,81
232,42.0,42
233,68.0,68
234,29.0,29
235,39.0,39
236,24.0,24
237,25.0,25
238,23.0,23
239,35.0,35
240,33.0,33
241,74.0,74
242,46.0,46
243,46.0,46
244,51.0,51
245,42.0,42
246,83.0,83
247,48.0,48
248,47.0,47
249,36.0,36
250,29.0,29
251,30.0,30
252,25.0,25
253,112.0,112
254,30.0,30
255,31.0,31
256,39.0,39
257,30.0,30
258,112.0,112
259,32.0,32
260,98.0,98
261,23.0,23
262,29.0,29
263,78.0,78
264,38.0,38
265,50.0,50
266,33.0,33
267,91.0,91
268,78.0,78
269,69.0,69
270,27.0,27
271,40.0,40
272,82.0,82
273,27.0,27
274,60.0,60
275,42.0,42
276,26.0,26
277,38.0,38
278,55.0,55
279,43.0,43
280,30.0,30
281,29.0,29
282,28.0,28
283,27.0,27
284,46.0,46
285,36.0,36
286,76.0,76
287,32.0,32
288,56.0,56
289,36.0,36
290,74.0,74
291,48.0,48
292,63.0,63
293,58.0,58
294,63.0,63
295,45.0,45
296,40.0,40
297,31.0,31
298,43.0,43
299,33.0,33
300,56.0,56
301,38.0,38
302,32.0,32
303,46.0,46
304,98.0,98
305,46.0,46
306,64.0,64
307,27.0,27
308,160.0,160
309,33.0,33
310,40.0,40
311,74.0,74
312,36.0,36
313,47.0,47
314,65.0,65
315,29.0,29
316,52.0,52
317,37.0,37
318,44.0,44
319,56.0,56
320,36.0,36
321,32.0,32
322,36.0,36
323,31.0,31
324,51.0,51
325,53.0,53
326,46.0,46
327,42.0,42
328,41.0,41
329,44.0,44
330,34.0,34
331,45.0,45
332,34.0,34
333,116.0,116
334,101.0,101
335,79.0,79
336,54.0,54
337,53.0,53
338,40.0,40
339,117.0,117
340,58.0,58
341,72.0,72
342,44.0,44
343,53.0,53
344,52.0,52
345,49.0,49
346,41.0,41
347,54.0,54
348,45.0,45
349,53.0,53
350,75.0,75
351,33.0,33
352,43.0,43
353,46.0,46
354,51.0,51
355,49.0,49
356,53.0,53
357,92.0,92
358,61.0,61
359,84.0,84
360,50.0,50
361,57.0,57
362,60.0,60
363,115.0,115
364,53.0,53
365,58.0,58
366,42.0,42
367,44.0,44
368,96.0,96
369,37.0,37
370,98.0,98
371,35.0,35
372,43.0,43
373,56.0,56
374,48.0,48
375,99.0,99
376,105.0,105
377,82.0,82
378,45.0,45
379,49.0,49
380,83.0,83
381,44.0,44
382,129.0,129
383,62.0,62
384,67.0,67
385,70.0,70
386,41.0,41
387,64.0,64
388,73.0,73
389,48.0,48
390,63.0,63
391,79.0,79
392,77.0,77
393,68.0,68
394,44.0,44
395,70.0,70
396,49.0,49
397,94.0,94
398,53.0,53
399,55.0,55
400,47.0,47
401,39.0,39
402,64.0,64
403,78.0,78
404,67.0,67
405,103.0,103
406,54.0,54
407,42.0,42
408,171.0,171
409,45.0,45
410,152.0,152
411,70.0,70
412,59.0,59
413,34.0,34
414,141.0,141
415,69.0,69
416,73.0,73
417,64.0,64
418,54.0,54
419,86.0,86
420,50.0,50
421,110.0,110
422,111.0,111
423,49.0,49
424,83.0,83
425,59.0,59
426,67.0,67
427,69.0,69
428,75.0,75
429,42.0,42
430,72.0,72
431,72.0,72
432,57.0,57
433,84.0,84
434,95.0,95
435,104.0,104
436,80.0,80
437,173.0,173
438,52.0,52
439,45.0,45
440,57.0,57
441,72.0,72
442,100.0,100
443,58.0,58
444,62.0,62
445,79.0,79
446,66.0,66
447,69.0,69
448,41.0,41
449,37.0,37
450,61.0,61
451,54.0,54
452,68.0,68
453,80.0,80
454,64.0,64
455,83.0,83
456,82.0,82
457,66.0,66
458,133.0,133
459,175.0,175
460,63.0,63
461,79.0,79
462,49.0,49
463,77.0,77
464,108.0,108
465,56.0,56
466,44.0,44
467,35.0,35
468,44.0,44
469,39.0,39
470,64.0,64
471,103.0,103
472,55.0,55
473,94.0,94
474,63.0,63
475,148.0,148
476,67.0,67
477,49.0,49
478,87.0,87
479,65.0,65
480,63.0,63
481,92.0,92
482,79.0,79
483,72.0,72
484,59.0,59
485,222.0,222
486,267.0,267
487,60.0,60
488,135.0,135
489,75.0,75
490,130.0,130
491,71.0,71
492,61.0,61
493,91.0,91
494,56.0,56
495,55.0,55
496,59.0,59
497,65.0,65
498,91.0,91
499,52.0,52
500,61.0,61
501,80.0,80
502,101.0,101
503,53.0,53
504,51.0,51
505,80.0,80
506,53.0,53
507,45.0,45
508,49.0,49
509,280.0,280
510,87.0,87
511,82.0,82
512,86.0,86
513,57.0,57
514,65.0,65
515,49.0,49
516,68.0,68
517,62.0,62
518,130.0,130
519,89.0,89
520,69.0,69
521,90.0,90
522,63.0,63
523,72.0,72
524,126.0,126
525,57.0,57
526,89.0,89
527,69.0,69
528,43.0,43
529,360.0,360
530,73.0,73
531,466.0,466
532,59.0,59
533,63.0,63
534,59.0,59
535,97.0,97
536,65.0,65
537,93.0,93
538,108.0,108
539,85.0,85
540,93.0,93
541,62.0,62
542,55.0,55
543,56.0,56
544,78.0,78
545,64.0,64
546,59.0,59
547,61.0,61
548,64.0,64
549,49.0,49
550,78.0,78
551,45.0,45
552,45.0,45
553,53.0,53
554,47.0,47
555,53.0,53
556,91.0,91
557,68.0,68
558,125.0,125
559,61.0,61
560,76.0,76
561,83.0,83
562,66.0,66
563,84.0,84
564,50.0,50
565,111.0,111
566,61.0,61
567,55.0,55
568,81.0,81
569,53.0,53
570,50.0,50
571,36.0,36
572,55.0,55
573,75.0,75
574,71.0,71
575,64.0,64
576,46.0,46
577,49.0,49
578,89.0,89
579,49.0,49
580,81.0,81
581,56.0,56
582,45.0,45
583,64.0,64
584,61.0,61
585,50.0,50
586,48.0,48
587,84.0,84
588,43.0,43
589,73.0,73
590,65.0,65
591,112.0,112
592,89.0,89
593,53.0,53
594,42.0,42
595,37.0,37
596,60.0,60
597,56.0,56
598,32.0,32
599,48.0,48
600,45.0,45
601,41.0,41
602,42.0,42
603,37.0,37
604,56.0,56
605,48.0,48
606,33.0,33
607,36.0,36
608,57.0,57
609,58.0,58
610,51.0,51
611,51.0,51
612,70.0,70
613,47.0,47
614,103.0,103
615,42.0,42
616,39.0,39
617,52.0,52
618,41.0,41
619,41.0,41
620,43.0,43
621,56.0,56
622,59.0,59
623,52.0,52
624,39.0,39
625,72.0,72
626,91.0,91
627,41.0,41
628,56.0,56
629,83.0,83
630,52.0,52
631,36.0,36
632,42.0,42
633,35.0,35
634,49.0,49
635,45.0,45
636,43.0,43
637,48.0,48
638,33.0,33
639,35.0,35
640,51.0,51
641,35.0,35
642,39.0,39
643,31.0,31
644,47.0,47
645,31.0,31
646,32.0,32
647,29.0,29
648,32.0,32
649,28.0,28
650,35.0,35
651,40.0,40
652,30.0,30
653,41.0,41
654,28.0,28
655,30.0,30
656,49.0,49
657,36.0,36
658,43.0,43
659,38.0,38
660,45.0,45
661,47.0,47
662,32.0,32
663,41.0,41
664,55.0,55
665,39.0,39
666,29.0,29
667,31.0,31
668,43.0,43
669,36.0,36
670,42.0,42
671,42.0,42
672,33.0,33
673,40.0,40
674,46.0,46
675,31.0,31
676,36.0,36
677,55.0,55
678,39.0,39
679,53.0,53
680,49.0,49
681,38.0,38
682,40.0,40
683,66.0,66
684,39.0,39
685,31.0,31
686,47.0,47
687,29.0,29
688,28.0,28
689,28.0,28
690,36.0,36
691,53.0,53
692,67.0,67
693,61.0,61
694,46.0,46
695,64.0,64
696,42.0,42
697,33.0,33
698,32.0,32
699,58.0,58
700,35.0,35
701,48.0,48
702,52.0,52
703,45.0,45
704,39.0,39
705,39.0,39
706,42.0,42
707,59.0,59
708,36.0,36
709,47.0,47
710,44.0,44
711,43.0,43
712,35.0,35
713,43.0,43
714,114.0,114
715,70.0,70
716,73.0,73
717,164.0,164
718,79.0,79
719,97.0,97
720,126.0,126
721,112.0,112
722,61.0,61
723,61.0,61
724,50.0,50
725,60.0,60
726,58.0,58
727,70.0,70
728,66.0,66
729,145.0,145
730,93.0,93
731,104.0,104
732,76.0,76
733,118.0,118
734,75.0,75
735,80.0,80
736,62.0,62
737,54.0,54
738,44.0,44
739,73.0,73
740,46.0,46
741,154.0,154
742,75.0,75
743,91.0,91
744,115.0,115
745,226.0,226
746,109.0,109
747,88.0,88
748,387.0,387
749,500.0,500
750,135.0,135
751,56.0,56
752,90.0,90
753,207.0,207
754,100.0,100
755,237.0,237
756,67.0,67
757,62.0,62
758,91.0,91
759,76.0,76
760,105.0,105
761,500.0,500
762,71.0,71
763,365.0,365
764,64.0,64
765,55.0,55
766,79.0,79
767,97.0,97
768,80.0,80
769,97.0,97
770,94.0,94
771,86.0,86
772,115.0,115
773,119.0,119
774,59.0,59
775,58.0,58
776,72.0,72
777,74.0,74
778,500.0,500
779,73.0,73
780,99.0,99
781,146.0,146
782,500.0,500
783,91.0,91
784,55.0,55
785,45.0,45
786,53.0,53
787,91.0,91
788,100.0,100
789,153.0,153
790,128.0,128
791,70.0,70
792,68.0,68
793,72.0,72
794,57.0,57
795,84.0,84
796,500.0,500
797,500.0,500
798,500.0,500
799,500.0,500
800,62.0,62
801,72.0,72
802,81.0,81
803,90.0,90
804,288.0,288
805,500.0,500
806,156.0,156
807,141.0,141
808,188.0,188
809,500.0,500
810,500.0,500
811,105.0,105
812,74.0,74
813,57.0,57
814,57.0,57
815,101.0,101
816,45.0,45
817,43.0,43
818,38.0,38
819,52.0,52
820,42.0,42
821,69.0,69
822,500.0,500
823,341.0,341
824,207.0,207
825,328.0,328
826,500.0,500
827,83.0,83
828,116.0,116
829,56.0,56
830,60.0,60
831,51.0,51
832,65.0,65
833,36.0,36
834,74.0,74
835,138.0,138
836,53.0,53
837,64.0,64
838,123.0,123
839,144.0,144
840,98.0,98
841,46.0,46
842,59.0,59
843,62.0,62
844,55.0,55
845,40.0,40
846,32.0,32
847,36.0,36
848,51.0,51
849,49.0,49
850,105.0,105
851,56.0,56
852,40.0,40
853,39.0,39
854,54.0,54
855,34.0,34
856,46.0,46
857,67.0,67
858,217.0,217
859,197.0,197
860,218.0,218
861,89.0,89
862,500.0,500
863,150.0,150
864,66.0,66
865,41.0,41
866,92.0,92
867,46.0,46
868,35.0,35
869,51.0,51
870,35.0,35
871,104.0,104
872,87.0,87
873,249.0,249
874,176.0,176
875,164.0,164
876,135.0,135
877,146.0,146
878,157.0,157
879,155.0,155
880,152.0,152
881,145.0,145
882,197.0,197
883,395.0,395
884,418.0,418
885,215.0,215
886,137.0,137
887,60.0,60
888,55.0,55
889,218.0,218
890,274.0,274
891,166.0,166
892,189.0,189
893,185.0,185
894,171.0,171
895,200.0,200
896,194.0,194
897,287.0,287
898,65.0,65
899,187.0,187
900,205.0,205
901,187.0,187
902,152.0,152
903,157.0,157
904,119.0,119
905,147.0,147
906,150.0,150
907,183.0,183
908,87.0,87
909,187.0,187
910,176.0,176
911,181.0,181
912,143.0,143
913,131.0,131
914,131.0,131
915,160.0,160
916,113.0,113
917,195.0,195
918,183.0,183
919,167.0,167
920,86.0,86
921,163.0,163
922,160.0,160
923,134.0,134
924,133.0,133
925,138.0,138
926,189.0,189
927,148.0,148
928,203.0,203
929,163.0,163
930,155.0,155
931,148.0,148
932,106.0,106
933,177.0,177
934,144.0,144
935,116.0,116
936,221.0,221
937,109.0,109
938,125.0,125
939,143.0,143
940,169.0,169
941,183.0,183
942,159.0,159
943,205.0,205
944,152.0,152
945,131.0,131
946,221.0,221
947,113.0,113
948,115.0,115
949,126.0,126
950,122.0,122
951,134.0,134
952,136.0,136
953,142.0,142
954,149.0,149
955,104.0,104
956,135.0,135
957,145.0,145
958,162.0,162
959,107.0,107
960,152.0,152
961,239.0,239
962,204.0,204
963,156.0,156
964,156.0,156
965,126.0,126
966,112.0,112
967,116.0,116
968,106.0,106
969,122.0,122
970,134.0,134
971,112.0,112
972,126.0,126
973,127.0,127
974,151.0,151
975,176.0,176
976,155.0,155
977,157.0,157
978,157.0,157
979,272.0,272
980,182.0,182
981,61.0,61
982,162.0,162
983,208.0,208
984,176.0,176
985,144.0,144
986,127.0,127
987,143.0,143
988,139.0,139
989,194.0,194
990,123.0,123
991,143.0,143
992,162.0,162
993,174.0,174
994,147.0,147
995,66.0,66
996,51.0,51
997,63.0,63
998,59.0,59
999,202.0,202
